EST,MONTH,STA,YEAR,Abra aequalis,Acteocina canaliculata,Aligena texasiana,Alitta succinea,Amaeana trilobata,Americamysis almyra,Ampelisca abdita,Ampelisca verrilli,Ancistrosyllis jonesi,Anthozoa (unidentified),Apoorophium louisianum,Apseudes sp. A,Aricidea (Acmira) catharinae,Aricidea bryani,Armandia maculata,Axiothella sp. A,Bivalvia (unidentified),Brachidontes exustus,Caecum johnsoni,Callianassa sp.,Callinectes sapidus,Capitella capitata,Capitellidae (unidentified),Caprellidae (unidentified),Ceratonereis irritabilis,Ceratopogonidae (larvae),Cerebratulus lacteus,Chironomidae (larvae),Chone sp.,Clymenella mucosa,Clymenella torquata,Corbula contracta,Cossura delta,Cyclaspis varians,Cyclopoida (commensal),Damselfly nymphs,Diopatra cuprea,Diplodonta punctata,Dipolydora caulleryi,Dipolydora socialis,Diptera (unidentified),Drilonereis magna,Echiuridae (unidentified),Ensis minor,Euclymene sp. B,Eudorella sp.,Eulimastoma sp.,Eumida sanguinea,Eusarsiella texana,Eusarsiella zostericola,Exogone sp.,Farfantepenaeus setiferus,Glycera americana,Glycinde solitaria,Grandidierella bonnieroides,Gyptis brevipalpa,Haploscoloplos fragilis,Haploscoloplos sp.,Hauchiella sp.,Hermundura ocularis,Heteromastus filiformis,Ilyocryptus spinifer,Laeonereis culveri,Lepton sp.,Leucon sp.,Listriella barnardi,Listriella clymenellae,Lumbrineris parvapedata,Lyonsia hyalina floridana,Macoma mitchelli,Magelona phyllisae,Magelona rosea,Maldanidae (unidentified),Malmgreniella taylori,Mediomastus ambiseta,Mediomastus californiensis,Megalomma bioculatum,Megalopa larvae,Melinna maculata,Mercenaria campechiensis,Microphiopholis atra,Microphthalmus aberrans,Microprotopus sp.,Minuspio cirrifera,Molgula manhattensis,Monoculodes sp.,Mulinia lateralis,Munnidae (unidentified),Mysella planulata,Mysidopsis sp.,Naineris laevigata,Nassarius acutus,Nassarius vibex,Nemertea (unidentified),Nereididae (unidentified),Neritina virginea,No species observed,Notomastus latericeus,Nuculana acuta,Nuculana concentrica,Nudibranchia (unidentified),Ogyrides alphaerostris,Oligochaeta (unidentified),Ostracoda (unidentified),Oxyurostylis sp.,Paleanotus heteroseta,Pandora trilineata,Paradoneis lyra,Paranaitis speciosa,Paraprionospio pinnata,Periploma cf. orbiculare,Periploma margaritaceum,Phascolion strombus,Phoronis architecta,Phyllodocidae (unidentified),Pilargis berkeleyae,Pinnixa sp.,Pista palmata,Polydora cornuta,Polydora sp.,Potamanthidae (unidentified),Rangia flexuosa,Rictaxis punctostriatus,Sabaco elongatus,Sabellidae (unidentified),Samythella eliasoni,Sarsiella disparalis,Schistomeringos rudolphi,Schistomeringos sp. A,Schizocardium sp.,Sigambra bassi,Sigambra tentaculata,Sphaerosyllis cf. sublaevis,Sphaerosyllis sp. A,Spiochaetopterus costarum,Spiophanes bombyx,Streblospio benedicti,Tagelus plebeius,Tellina sp.,Terebellidae (unidentified),Texadina sphinctostoma,Tharyx setigera,Trachypenaeus constrictus,Turbellaria (unidentified),Turbonilla sp.,Vitrinellidae (unidentified)
BR,JAN,A,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,JAN,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
BR,JAN,A,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
BR,JAN,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
BR,JAN,A,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,JAN,A,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,JAN,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,JAN,B,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,JAN,B,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
BR,JAN,B,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
