Est,DATE,STA,TEMP,SAL,Season,SAND,SILT,CLAY,TOC,DO,pH,mean_annual_SAL,SAL_anomaly
BR,8-Jan-2002,A,10.44999999,3.064999998,Winter,0.01605,0.7211,0.26185,0.84,10.07499997,7.939999998,0.02,-3.04
BR,8-Jan-2003,A,13.14499998,2.739999995,Winter,0.01605,0.7211,0.26185,0.84,9.25999999,7.694999993,22.88,20.14
BR,8-Jan-2002,A,10.44999999,3.064999998,Winter,0.01605,0.7211,0.26185,0.84,10.07499997,7.939999998,0.02,-3.05
BR,8-Jan-2003,A,13.14499998,2.739999995,Winter,0.01605,0.7211,0.26185,0.84,9.25999999,7.694999993,23.26,20.52
BR,8-Jan-2002,A,10.44999999,3.064999998,Winter,0.01605,0.7211,0.26185,0.84,10.07499997,7.939999998,0.02,-3.05
BR,8-Jan-2003,A,13.14499998,2.739999995,Winter,0.01605,0.7211,0.26185,0.84,9.25999999,7.694999993,23.26,20.52
BR,8-Jan-2002,B,10.57499999,3.369999997,Winter,0.02342,0.80485,0.1715,0.86,9.974999979,7.944999993,8.43,5.06
BR,8-Jan-2003,B,13.27499998,2.769999996,Winter,0.02342,0.80485,0.1715,0.86,9.084999979,7.764999993,22.89,20.12
BR,8-Jan-2002,B,10.57499999,3.369999997,Winter,0.02342,0.80485,0.1715,0.86,9.974999979,7.944999993,8.39,5.02
BR,8-Jan-2003,B,13.27499998,2.769999996,Winter,0.02342,0.80485,0.1715,0.86,9.084999979,7.764999993,23.29,20.52
BR,8-Jan-2002,B,10.57499999,3.369999997,Winter,0.02342,0.80485,0.1715,0.86,9.974999979,7.944999993,8.39,5.02
BR,8-Jan-2003,B,13.27499998,2.769999996,Winter,0.02342,0.80485,0.1715,0.86,9.084999979,7.764999993,23.29,20.52
BR,8-Jan-2002,C,10.76999998,3.659999996,Winter,0.37965,0.5136,0.09903,0.56,9.839999989,7.919999994,9.55,5.89
BR,8-Jan-2003,C,13.10499999,2.839999996,Winter,0.37965,0.5136,0.09903,0.56,8.874999985,7.75,22.76,19.92
BR,8-Jan-2002,C,10.76999998,3.659999996,Winter,0.37965,0.5136,0.09903,0.56,9.839999989,7.919999994,9.32,5.66
BR,8-Jan-2003,C,13.10499999,2.839999996,Winter,0.37965,0.5136,0.09903,0.56,8.874999985,7.75,23.12,20.28
BR,8-Jan-2002,C,10.76999998,3.659999996,Winter,0.37965,0.5136,0.09903,0.56,9.839999989,7.919999994,9.32,5.66
BR,8-Jan-2003,C,13.10499999,2.839999996,Winter,0.37965,0.5136,0.09903,0.56,8.874999985,7.75,23.12,20.28
BR,12-Apr-2002,A,21.52999997,1.914999997,Spring,0.01605,0.7211,0.26185,0.84,5.114999987,7.694999993,0.02,-1.89
BR,9-Apr-2003,A,20.34499997,9.899999984,Spring,0.01605,0.7211,0.26185,0.84,8.404999986,7.88499999,23.26,13.36
BR,12-Apr-2002,A,21.52999997,1.914999997,Spring,0.01605,0.7211,0.26185,0.84,5.114999987,7.694999993,0.02,-1.90
BR,9-Apr-2003,A,20.34499997,9.899999984,Spring,0.01605,0.7211,0.26185,0.84,8.404999986,7.88499999,23.26,13.36
BR,12-Apr-2002,A,21.52999997,1.914999997,Spring,0.01605,0.7211,0.26185,0.84,5.114999987,7.694999993,0.02,-1.90
BR,9-Apr-2003,A,20.34499997,9.899999984,Spring,0.01605,0.7211,0.26185,0.84,8.404999986,7.88499999,23.26,13.36
BR,12-Apr-2002,B,21.55999997,1.869999999,Spring,0.02342,0.80485,0.1715,0.86,5.039999992,7.684999995,8.39,6.52
BR,9-Apr-2003,B,20.75999999,5.109999992,Spring,0.02342,0.80485,0.1715,0.86,9.169999987,8.019999981,23.29,18.18
BR,12-Apr-2002,B,21.55999997,1.869999999,Spring,0.02342,0.80485,0.1715,0.86,5.039999992,7.684999995,8.39,6.52
BR,9-Apr-2003,B,20.75999999,5.109999992,Spring,0.02342,0.80485,0.1715,0.86,9.169999987,8.019999981,23.29,18.18
BR,12-Apr-2002,B,21.55999997,1.869999999,Spring,0.02342,0.80485,0.1715,0.86,5.039999992,7.684999995,8.39,6.52
BR,9-Apr-2003,B,20.75999999,5.109999992,Spring,0.02342,0.80485,0.1715,0.86,9.169999987,8.019999981,23.29,18.18
BR,12-Apr-2002,C,21.64499995,1.834999999,Spring,0.37965,0.5136,0.09903,0.56,5.079999998,7.689999998,9.51,7.68
BR,9-Apr-2003,C,20.41499996,7.184999995,Spring,0.37965,0.5136,0.09903,0.56,8.829999983,8.00999999,23.12,15.93
BR,12-Apr-2002,C,21.64499995,1.834999999,Spring,0.37965,0.5136,0.09903,0.56,5.079999998,7.689999998,9.32,7.49
BR,9-Apr-2003,C,20.41499996,7.184999995,Spring,0.37965,0.5136,0.09903,0.56,8.829999983,8.00999999,23.12,15.93
BR,12-Apr-2002,C,21.64499995,1.834999999,Spring,0.37965,0.5136,0.09903,0.56,5.079999998,7.689999998,9.32,7.49
BR,9-Apr-2003,C,20.41499996,7.184999995,Spring,0.37965,0.5136,0.09903,0.56,8.829999983,8.00999999,23.12,15.93
BR,8-Jul-2002,A,32.67499995,18.16,Summer,0.01605,0.7211,0.26185,0.84,6.864999995,7.914999992,0.02,-18.14
BR,1-Jul-2003,A,31.40499997,11.76999999,Summer,0.01605,0.7211,0.26185,0.84,5.38499999,7.714999996,23.26,11.49
BR,8-Jul-2002,A,32.67499995,18.16,Summer,0.01605,0.7211,0.26185,0.84,6.864999995,7.914999992,0.02,-18.14
BR,1-Jul-2003,A,31.40499997,11.76999999,Summer,0.01605,0.7211,0.26185,0.84,5.38499999,7.714999996,23.26,11.49
BR,8-Jul-2002,A,32.67499995,18.16,Summer,0.01605,0.7211,0.26185,0.84,6.864999995,7.914999992,0.02,-18.14
BR,1-Jul-2003,A,31.40499997,11.76999999,Summer,0.01605,0.7211,0.26185,0.84,5.38499999,7.714999996,23.26,11.49
BR,8-Jul-2002,B,32.50499997,18.34499997,Summer,0.02342,0.80485,0.1715,0.86,6.99499999,7.974999994,8.39,-9.96
BR,1-Jul-2003,B,31.20999998,10.87499999,Summer,0.02342,0.80485,0.1715,0.86,6.044999994,7.819999993,23.29,12.41
BR,8-Jul-2002,B,32.50499997,18.34499997,Summer,0.02342,0.80485,0.1715,0.86,6.99499999,7.974999994,8.39,-9.96
