Month,Year,Site,Flow intermittence (%),Halacaridae,Oribatidae,Hydra,Antiporus strigosulus,Liodessus plicatus,Elmidae,Hydrophilidae,Ptilodactylidae,Scritidae,Paracalliope,Paracrangonyx,Paraleptamphopus,Phreatogammarus,Cladocera,Cyclopoida,Harpacticoida,Janiridae,Ostracoda,Syncarida,Chironomus,Corynoneura,Cricotopus,Eukiefferiella,Maoridiamesa,Naonella,Orthoclad. spA,Orthoclad. spC,Orthocladiinae,Pirara,Podonominae,Polypedilum,Stictocladius,Tanypodinae,Tanytarsini,Empididae,Ephydrella,Aphrophila,Eriopterini,Molophilus ,Paralimnophila skusei,Muscidae,Psychodidae,Austrosimulium,Coloburiscus humeralis,Atalophlebiodes cromwelli,Deleatidium ,Neozephlebia scita,Sigara,Saldidae,Glossiphonidae,Archichauliodes diversus,Gyraulus,Lymnaea,Physa,Potamopyrgus antipodarum,Nematoda,Enchytraeidae,Haplotaxidae,Lumbriculus,Naididae,Phreodrilidae,Tubificidae,Stenoperla prasina,Zelandobius,Zelandoperla,Tardigrada,Beraeoptera roria,Olinga feredayi,Pycnocentria,Pycnocentrodes,Helicopsyche,Costachorema psarapterum,Costachorema xanthoptera,Hydrobiosis charadraea,Hydrobiosis clavigera,Hydrobiosis parumbripenni,Hydrobiosis umbripennis,Neurochorema confusum,Psilochorema bidens,Psilochorema leptoharpax,Psilochorema macroharpax,Aoteapsyche catherinae,Aoteapsyche colonica,Aoteapsyche raruraru,Oxyethira albiceps,Hudsonema amabilis,Triplectides,Polyplectropus,Platyhelminthes,,
November,2003,Coalgate,0,16,1,0,0,0,54,0,0,0,0,0,2,0,0,0,0,2,12,0,0,0,2,53,5,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,5,0,0,187,1,0,0,0,4,0,0,0,3,0,0,0,6,65,0,0,3,0,0,0,0,189,1,28,3,0,0,0,0,0,0,0,5,0,4,0,3,0,0,0,0,2,0,,
November,2003,Coalgate,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,89,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,2,0,95,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,72,0,13,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,,
November,2003,Coalgate,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12,4,0,112,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,111,0,17,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,,
November,2003,Coalgate,0,7,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,2,0,0,0,0,0,0,0,3,14,0,0,0,1,2,0,0,0,0,6,1,0,102,0,0,0,0,5,0,0,0,3,0,0,0,2,213,0,0,14,0,0,0,0,165,1,9,0,0,0,0,0,0,0,0,7,0,6,0,4,0,0,0,0,0,0,,
December,2004,Coalgate,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,25,10,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,5,32,0,180,0,0,0,0,18,0,0,1,2,0,0,0,0,3,0,0,19,0,0,0,0,240,0,81,1,10,0,0,2,4,8,0,8,0,7,0,208,0,0,0,0,0,0,,
August,2004,Coalgate,0,20,4,0,20,0,71,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,1,28,2,0,0,0,0,16,0,0,0,2,0,0,0,0,1,0,0,0,0,6,5,0,966,4,0,0,0,10,0,0,0,356,0,0,0,5,0,2,82,19,0,0,0,0,1383,10,748,4,1,0,0,0,0,0,0,31,0,1,7,1,0,0,0,0,0,0,,
August,2004,Coalgate,0,15,3,0,121,0,47,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,3,96,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,41,0,707,0,0,0,0,15,0,0,0,346,0,0,0,0,0,0,0,10,0,0,0,0,1466,12,350,0,1,0,0,3,0,0,0,31,3,1,17,12,0,0,2,0,0,2,,
August,2004,Coalgate,0,13,3,0,58,0,43,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,582,2,0,0,0,11,0,0,0,246,0,1,0,2,32,0,3,13,0,0,0,0,1126,16,228,6,0,0,0,0,1,0,0,90,1,0,7,16,0,0,0,1,0,0,,
August,2004,Coalgate,0,27,5,0,42,0,54,0,0,0,0,0,0,0,2,0,2,0,24,0,0,0,3,59,11,6,1,0,0,15,0,0,0,3,15,0,0,1,0,0,0,0,0,2,11,0,530,8,0,0,0,8,0,0,0,168,0,0,0,0,0,1,262,18,0,0,0,0,657,0,411,8,0,2,0,0,2,4,2,33,1,4,9,3,0,0,3,0,0,1,,
May,2004,Coalgate,0,0,0,0,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,11,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,54,33,0,214,7,0,0,0,17,0,0,0,262,0,0,0,0,0,0,0,28,0,0,0,1,912,6,590,1,0,1,0,2,0,0,0,19,0,1,0,11,1,0,1,0,0,0,,
